campus,borough2,school_corrected
MOTT HAVEN COMMUNITY HS,BRONX,
P256@BEACH CHANNEL HS,QUEENS,PS Q256
PS/IS 266 ,QUEENS,PS  IS 266
PS/MS 75,BRONX,
SUCCESS ACADEMY HIGH SCHOOL OF THE LIBERAL ARTS,MANHATTAN,
WEST END SECONDARY SCHOOL,,
YOUNG WOMEN LEADERSHIP SCHOOL QUEENS CAMPUS,QUEENS,
ACADEMY FOR SOFTWARE ENGINEERING,MANHATTAN,WASHINGTON IRVING HIGH SCHOOL
ACHIEVEMENT FIRST LINDEN MIDDLE CHARTER SCHOOL,,
ACORN HS FOR SOCIAL JUSTICE,BROOKLYN,
ALTERNATIVE LEARNING CENTER@JOHN JAY CAMPUS,,
BARD HS EARLY COLLEGE,MANHATTAN,
BRONX DESIGN & CONSTRUCTION ACADEMY,BRONX,
BRONX HS OF BUSINESS,BRONX,
COLUMBIA SECONDARY SCHOOL FOR MATH SCIENCE & ENGINEERING,MANHATTAN,
CS 191@PS 129 TWIN PARKS UPPER,BRONX,
FORDHAM HS FOR THE ARTS,BRONX,
HS FOR LAW & PUBLIC SERVICE,MANHATTAN,
HS FOR TEACHING & THE PROFESSIONS,BRONX,
JUMP START ACADEMY,QUEENS,
KNOWLEDGE & POWER PREPARATORY ACADEMY INTERNATIONAL HS KAPPA,BRONX,
LIFE ACADEMY HS FOR FILM & MUSIC,BROOKLYN,
MANHATTAN SCHOOL FOR CAREER DEVELOPMENT P751,MANHATTAN,
MS 45 STARS PREP ACADEMY,MANHATTAN,
MS 839 ,BROOKLYN,
MS 890K,,
MS/HS 368,BRONX,
PS/IS 78Q @ PS/IS 312Q,,
SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25 NORTH SHORE@119,,
THE HARBOR VIEW SCHOOL ,STATEN ISLAND,
THEODORE ROOSEVELT EVENING M/W,BRONX,
URBAN ASSEMBLY MAKER ACADEMY,MANHATTAN,
W.E.B. DU BOIS YABC,BROOKLYN,
ACCESS GED,BROOKLYN,
ACHIEVEMENT FIRST NORTH BROOKLYN PREP CHARTER SCHOOL,BROOKLYN,
AMPARK NEIGHBORHOOD SCHOOL,BRONX,
BEDFORD STUYVESANT COLLEGIATE CHARTER SCHOOL,BROOKLYN,
BRONX HS FOR LAW & COMMUNITY SERVICE,BRONX,
BROOKLYN ADULT LEARNING CENTER,BROOKLYN,
BROOKLYN URBAN GARDEN CHARTER SCHOOL ,BROOKLYN,
BUSHWICK LEADERS HS FOR ACADEMIC EXCELLENCE,,
CLAREMONT INTERNATIONAL HIGH SCHOOL,,
DIGITAL ARTS & CINEMA TECHNOLOGY HIGH SCHOOL ,BROOKLYN,
EAST ELMHURST COMMUNITY SCHOOL,QUEENS,
ENGLISH LANGUAGE LEARNERS & INTERNATIONAL SUPPORT PREPARATORY ACADEMY,BRONX,
EVANDER CHILDS HS GED,BRONX,
FLUSHING EVENING HS MON & WED,QUEENS,
FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES FLAGS HS,BRONX,
GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,STATEN ISLAND,
HS FOR CIVIL RIGHTS,BROOKLYN,HIGH SCHOOL FOR CIVIL RIGHTS
HS FOR VIOLIN & DANCE,BRONX,HIGH SCHOOL FOR VIOLIN AND DANCE
HS OF COMPUTERS & TECHNOLOGY,BRONX,
HS OF WORLD CULTURES,BRONX,
IS/JHS 303,BRONX,IS X303 LEADERSHIP  COMMUNITY SERVICE
IS/PS 298Q,,
JOHN ADAMS EVENING M/W,QUEENS,
JOHN JAY GED,BROOKLYN,
JOSEPH F. QUINN INTERMEDIATE SCHOOL 77,,
LEGACY HIGH  SCHOOL FOR INTEGRATED STUDIES,MANHATTAN,LEGACY SCHOOL FOR INTEGRATED STUDIES
MANHATTAN ALC EAST HARLEM,MANHATTAN,
MIDDLE COLLEGE HS@LAGUARDIA COMMUNITY COLLEGE,QUEENS,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY
MS 347/349,BROOKLYN,
PARK PLACE ACADEMY,BROOKLYN,
PAUL HEDBAVNY SCHOOL PS/IS 278,MANHATTAN,PSIS 278
PROFESSIONAL PATHWAYS HIGH SCHOOL,,
PULSE ,BRONX,
REGION 3-LEARNING SUPPORT CENTER,QUEENS,
"ROBERT F.WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",QUEENS,
ROBERT H. GODDARD HS OF COMMUNICATION ARTS & TECHNOLOGY,QUEENS,
SECOND OPPORTUNITY SCHOOL-SOS ,BROOKLYN,
SOUNDVIEW EDUCATIONAL CAMPUS,BRONX,
SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 3,MANHATTAN,
THE NEW VISIONS CHARTER HS FOR ADVANCED MATH AND SCIENCE,BRONX,
TOMPKINS SQUARE MIDDLE SCHOOL EXTENSION,MANHATTAN,
UNION SQUARE ACADEMY FOR HEALTH SCIENCES,MANHATTAN,
UPK 066R,,
YORKVILLE COMMUNITY SCHOOL ,MANHATTAN,
ALC-COMPLEX ,QUEENS,
ALC-ROYAL 180 ACADEMY@ALC-COMPLEX,QUEENS,
ALC - MS 53@IS 053Q ,QUEENS,
AUXILIARY SERVICES@JEFFREY TENZER,MANHATTAN,
BRONX ADULT LEARNING CENTER,BRONX,
BRONX COLLEGIATE ACADEMYOLD BRONX EXPEDITIONARY LEARNING HS,BRONX,
BRONX HS FOR WRITING & COMMUNICATION ARTS,BRONX,
BROOKLYN SOUTH BOROUGH OFFICE,,
DISTRICT 29 OFFICE,QUEENS,
ELM TREE ELEMENTARY SCHOOL,QUEENS,
GEORGE WASHINGTON YABC YOUNG ADULT BOROUGH CENTER,MANHATTAN,
GIRLS PREP CHARTER SCHOOL OF THE BX@MS 301X ,BRONX,
HARRY VAN ARSDALE HS GED,BROOKLYN,
ICE INSTITUTE FOR COLLABORATIVE EDUCATION,MANHATTAN,
INTERNATIONAL HS@PROSPECT HEIGHTS,BROOKLYN,
IS/JHS 193,BRONX,
IS/JHS 320,BROOKLYN,
